sequence,mAP50
20190925_101846_1_4,0.869480
20190925_101846_1_5,0.806826
20190925_130434_1_1,0.000314
20190925_130434_1_2,0.000000
20190925_130434_1_5,0.627457
20190925_130434_1_6,0.882513
20190925_130434_1_8,0.758913
20190925_131530_1_3,0.733730
20190925_133630_1_9,0.555378
20190925_140917_1_3,0.614973
20190925_140917_1_6,0.409876
20190925_141417_1_1,0.757257
20190925_141417_1_6,0.326537
20190925_141417_1_7,0.498454
20190925_143900_1_1,0.517809
20190925_143900_1_2,0.767127
20190925_143900_1_7,0.357545
20190925_152412_1_3,0.300345
20190925_152412_1_5,0.381813
20190925_183946_1_1,0.321255
20190925_183946_1_2,0.607686
20190925_183946_1_3,0.786642
20190925_194211_1_3,0.508273
20190925_194211_1_4,0.752407
20190925_200320_1_4,0.974220
20190925_200320_1_8,0.995000
20190925_205804_1_5,0.497154
20190925_205804_1_6,0.611351
20190925_210802_1_3,0.844551
20190925_210802_1_6,0.706521
20190925_210802_1_8,0.904787
20190925_213001_1_1,0.382180
20190925_213001_1_3,0.674884
20190925_222534_1_5,0.991205
20190925_222534_1_7,0.748205
20190925_222534_1_8,0.393177
20190926_103046_1_2,0.533491
20190926_103046_1_8,0.896840
20190926_130341_1_5,0.986050
20190926_133516_1_2,0.988370
20190926_133516_1_3,0.994990
20190926_133516_1_5,0.457095
20190926_133516_1_6,0.545397
20190926_141816_1_2,0.527184
20190926_141816_1_4,0.983740
20190926_141816_1_6,0.588771
20190926_141816_1_9,0.664220
20190926_142435_1_9,0.647274
20190926_143632_1_2,0.943894
20190926_143632_1_4,0.994509
20190926_143632_1_8,0.598353
20190926_144550_1_1,0.680751
20190926_144550_1_10,0.995000
20190926_144550_1_4,0.882511
20190926_144550_1_7,0.902277
20190926_183400_1_1,0.575298
20190926_183400_1_4,0.994537
20190926_183400_1_6,0.740476
20190926_183941_1_3,0.822122
20190926_183941_1_5,0.984498
20190926_195921_1_1,0.412198
20190926_195921_1_5,0.553417
20190926_195921_1_6,0.489918
20190926_200510_1_2,0.604666
20190926_200510_1_3,0.461862
20190926_200510_1_4,0.741942
20190926_200510_1_8,0.855810
